id,created,updated,caption,visible,created_by_id,reference_id,primary_property_id,system_id,updated_by_id,is_figure,dimensionality,is_experimental,primary_unit_id,secondary_property_id,secondary_unit_id,sample_type,extraction_method,representative,primary_property_label,secondary_property_label,doi,space_group
6,2019-03-14 20:18:38,2019-08-15 01:15:18,,1,1,7,4,12,1,1,2,1,4.0,5,5.0,2,Engauge Digitizer (Figure 5),1,,,,
7,2019-03-14 20:18:38,2019-08-15 01:51:36,,1,1,7,4,8,1,1,2,1,4.0,5,5.0,2,Engauge Digitizer (Figure 5),1,,,,
8,2019-03-14 20:18:39,2019-08-15 01:50:18,,1,1,7,4,13,1,1,2,1,4.0,5,5.0,2,Engauge Digitizer (Figure 5),1,,,,
9,2019-03-14 20:18:40,2019-08-15 00:54:32,,1,1,7,4,9,1,1,2,1,4.0,5,5.0,2,Engauge Digitizer (Figure 5),1,,,,
10,2019-03-14 20:18:40,2019-08-15 00:53:43,,1,1,7,4,11,1,1,2,1,4.0,5,5.0,2,Engauge Digitizer (Figure 5),1,,,,
11,2019-03-14 20:18:41,2019-08-15 00:52:47,,1,1,7,4,2,1,1,2,1,4.0,5,5.0,2,Engauge Digitizer (Figure 5),1,,,,
12,2019-03-14 20:18:41,2019-08-15 02:08:22,,1,1,7,4,7,1,1,2,1,4.0,5,5.0,2,Engauge Digitizer (Figure 5),1,,,,
13,2019-03-14 20:18:42,2019-08-15 02:03:05,,1,1,7,4,14,1,1,2,1,4.0,5,5.0,2,Engauge Digitizer (Figure 5),1,,,,
14,2019-03-14 20:18:43,2019-08-15 02:09:28,,1,1,7,4,6,1,1,2,1,4.0,5,5.0,2,Engauge Digitizer (Figure 5),1,,,,
15,2019-03-14 20:18:43,2019-08-15 02:10:10,,1,1,7,4,10,1,1,2,1,4.0,5,5.0,2,Engauge Digitizer (Figure 5),1,,,,
16,2019-03-14 20:18:44,2019-07-14 20:10:30,,1,1,12,4,15,1,1,3,1,4.0,5,5.0,0,"Engauge Digitizer, Figure 5",1,,,,
17,2019-03-14 20:18:45,2019-07-14 20:28:55,,1,1,12,4,16,1,1,3,1,4.0,5,5.0,0,"Engauge Digitizer, Figure 5",1,,,,
18,2019-03-14 20:18:45,2019-07-14 20:30:07,,1,1,12,4,17,1,1,3,1,4.0,5,5.0,0,"Engauge Digitizer, Figure 5",1,,,,
22,2019-03-14 21:59:32,2019-05-08 20:52:05,,1,1,17,10,24,15,0,3,1,1.0,2,2.0,2,Manual entry,1,,,,
106,2019-03-15 04:04:08,2021-09-07 21:50:55,,1,1,6,7,24,35,0,3,0,6.0,,,0,Manual entry,0,,,,
107,2019-03-15 04:04:08,2021-09-07 21:51:11,,1,1,6,7,24,35,0,3,0,6.0,,,0,Manual entry,0,,,,
108,2019-03-15 04:04:08,2021-09-07 21:51:23,,1,1,6,7,24,35,0,3,0,6.0,,,0,Manual entry,0,,,,
126,2019-03-21 17:05:05,2019-06-09 17:37:38,,1,1,18,29,24,1,0,3,1,1.0,,,2,Manual entry,1,Transient absorption peak,,,
128,2019-03-24 18:10:00,2019-03-24 18:10:00,,1,1,20,9,41,15,0,3,1,1.0,,,2,Manual entry,1,,,,
129,2019-03-24 18:24:01,2021-10-26 20:43:30,,1,1,21,9,1,66,0,3,1,1.0,,,1,Manual entry,1,,,,
131,2019-03-24 18:29:30,2019-06-09 02:20:46,,1,1,21,9,40,1,0,3,1,1.0,,,1,Manual entry,1,,,,
132,2019-03-24 18:34:58,2019-03-24 18:34:58,,1,1,21,9,24,15,0,3,1,1.0,,,1,Manual entry,1,,,,
134,2019-03-25 19:02:04,2019-05-08 21:09:37,,1,1,17,10,24,15,0,3,1,1.0,2,2.0,2,Manual entry,0,,,,
135,2019-03-25 19:11:48,2019-05-08 21:42:58,,1,1,18,10,24,15,0,3,1,1.0,,,2,Manual entry,0,,,,
136,2019-03-25 19:16:21,2019-05-08 21:42:32,,1,1,18,10,24,15,0,3,1,1.0,,,2,,0,,,,
137,2019-03-25 19:22:34,2019-05-09 00:34:21,,1,1,19,10,24,15,0,3,1,1.0,,,2,Manual entry,0,,,,
138,2019-03-25 19:31:55,2019-03-25 19:31:55,,1,1,20,10,41,15,0,3,1,1.0,,,2,Manual entry,1,,,,
