id,created,updated,name,created_by_id,updated_by_id
1,2019-02-21 16:16:01,2021-01-14 17:57:23,band gap (fundamental),15,35
2,2019-02-21 16:16:12,2019-02-21 16:16:12,temperature,15,15
3,2019-02-21 16:16:16,2019-02-21 16:16:16,pressure,15,15
4,2019-03-14 18:55:54,2019-03-14 18:55:54,photoluminescence,15,15
5,2019-03-14 18:56:03,2019-03-14 18:56:03,wavelength,15,15
7,2019-03-14 21:08:40,2019-05-02 15:13:46,atomic structure,15,15
8,2019-03-18 11:53:46,2020-04-26 14:13:54,absorption (deprecated),1,1
9,2019-03-21 16:36:45,2019-04-29 21:16:15,absorption peak position,1,15
10,2019-03-25 18:56:35,2019-04-29 21:16:08,photoluminescence peak position,1,15
11,2019-04-05 16:18:28,2019-04-05 16:18:28,band structure,16,16
13,2019-04-29 20:08:27,2019-04-29 20:08:27,time,16,16
14,2019-04-29 20:27:29,2019-04-29 21:15:37,projected density of states,13,15
15,2019-04-30 02:12:57,2019-04-30 15:51:33,absorption coefficient,13,13
16,2019-04-30 02:45:33,2019-04-30 15:51:27,density of states,13,13
17,2019-04-30 15:50:48,2020-05-06 00:52:13,Powder X-ray diffraction spectrum,13,1
18,2019-04-30 15:56:31,2019-04-30 15:56:31,energy,13,13
19,2019-04-30 16:12:52,2019-05-21 18:11:14,transient absorption coefficient,13,15
20,2019-04-30 16:55:17,2020-05-06 00:49:56,absorption spectrum,13,1
25,2019-06-04 21:10:38,2019-06-04 21:10:38,photoluminescence quantum efficiency (PLQE),16,16
26,2019-06-05 10:46:56,2019-06-05 10:46:56,Stokes shift,16,16
27,2019-06-07 16:58:06,2019-06-07 16:58:06,phase transition temperature,15,15
28,2019-06-09 17:24:21,2021-06-22 18:06:58,"band gap (optical, diffuse reflectance)",1,35
29,2019-06-09 17:37:33,2021-06-22 19:14:03,"band gap (optical, transmission)",1,35
30,2019-07-04 15:34:14,2019-07-04 15:34:14,excitation energy,15,15
31,2019-08-19 19:06:18,2021-06-22 18:06:38,"band gap (optical, theory)",20,35
32,2019-08-19 19:28:31,2019-08-19 19:28:31,2θ,19,19
33,2019-09-17 21:49:17,2019-09-17 21:49:17,luminescence,19,19
34,2019-09-18 16:40:10,2019-09-18 16:40:10,wavenumber,19,19
35,2020-04-14 21:45:42,2020-04-14 21:45:42,chiroptical activity,34,34
36,2020-04-26 20:26:46,2020-04-26 20:26:46,Photogenerated density,35,35
37,2020-04-26 20:44:58,2020-04-26 20:44:58,absorbance,35,35
38,2020-05-03 21:41:17,2020-05-03 21:41:17,Conductivity,35,35
39,2020-05-06 00:52:55,2020-05-06 00:52:55,Infrared absorption spectrum,1,1
40,2020-05-14 15:26:28,2020-05-14 15:26:28,photoluminescence excitation,1,1
41,2020-05-15 05:52:18,2020-05-15 05:52:18,Raman Shift,35,35
42,2020-06-22 02:56:45,2021-02-02 23:02:26,activation energy for electrical conduction,35,35
43,2020-06-22 18:43:35,2020-06-22 18:43:35,exciton binding energy,40,40
44,2020-06-25 16:43:55,2020-06-25 16:43:55,photon energy,40,40
45,2020-06-27 04:42:22,2020-06-27 04:42:22,circular dichroism (CD),40,40
46,2020-07-01 19:14:56,2020-07-01 19:14:56,Weight,47,47
47,2020-07-02 18:40:17,2020-07-02 18:40:17,Dielectric constant,47,47
48,2020-07-04 15:11:16,2020-07-04 15:11:16,Molar susceptibility,47,47
49,2020-07-06 18:24:46,2020-07-06 18:24:46,current,40,40
50,2020-07-06 18:25:18,2020-07-06 18:25:18,bias,40,40
51,2020-07-06 18:53:35,2020-07-06 18:53:35,Kubelka−Munk,47,47
52,2020-07-07 18:33:14,2020-07-07 18:33:14,absorbance intensity,47,47
53,2020-07-09 18:54:58,2020-07-09 18:54:58,resistivity,40,40
55,2020-07-13 12:47:06,2020-07-27 05:16:52,Electroluminescence,47,35
56,2020-07-13 14:37:37,2020-07-13 14:37:37,Current Density (mA/cm2),47,47
57,2020-07-13 14:37:51,2020-07-13 14:37:51,Current Density,47,47
58,2020-07-15 03:44:50,2020-07-15 03:44:50,tolerance factor,47,47
59,2020-07-17 03:14:57,2020-07-17 03:14:57,PL intensity,47,47
60,2020-07-17 15:34:34,2020-07-17 15:34:34,Thermogravimetric behavior,35,35
61,2020-07-17 18:36:07,2020-07-17 18:36:07,Chiral-induced spin Selectivity (CISS),40,40
62,2020-07-18 20:53:48,2020-07-18 20:53:48,LED device characteristic,47,47
63,2020-07-21 18:41:02,2020-07-21 18:41:02,phase transition behavior,40,40
64,2020-07-21 18:44:16,2020-07-21 18:44:16,thermal transition behavior,40,40
65,2020-07-28 01:25:39,2020-07-28 01:25:39,Delay,47,47
66,2020-07-28 02:24:09,2020-07-28 02:24:09,voltage,47,47
67,2020-07-31 02:37:49,2020-07-31 02:37:49,Polar- Dielectric constants,47,47
68,2020-07-31 04:15:58,2020-07-31 04:15:58,two-photon absorption coefficient,35,35
69,2020-07-31 04:35:07,2020-07-31 04:35:07,dielectric permittivity,35,35
70,2020-07-31 04:37:07,2020-07-31 04:37:07,frequency,35,35
71,2020-07-31 13:25:38,2020-07-31 13:25:38,Magnetic Susceptibility,47,47
72,2020-12-22 07:05:02,2020-12-22 07:05:02,Electron Paramagnetic Resonance (EPR) Spectra,35,35
73,2020-12-22 07:05:43,2020-12-22 07:05:43,Magnetic Field,35,35
74,2020-12-22 08:07:24,2020-12-22 08:07:24,1/T,35,35
75,2021-01-05 04:25:33,2021-01-05 04:25:33,Melting Point,35,35
76,2021-01-26 22:39:28,2021-01-26 22:39:28,X-Ray Absorption Near Edge Structure (XANES),35,35
77,2021-03-08 04:23:36,2021-03-08 04:23:36,Glass transition temperature,59,59
78,2021-03-08 04:24:06,2021-03-08 04:24:06,Degradation onset temperature,59,59
79,2021-03-08 04:25:05,2021-03-08 04:25:05,Crystallization onset temperature (Beginning from glass),59,59
