id,compound_name,group,formula,organic,inorganic,last_update,description,iupac
1,Methylammonium lead chloride,"(CH3NH3)PbCl3 , (CH3NH3)PbCl3, MAPbCl3, (MA)PbCl3",CH6NPbCl3,CH6N,"PbCl3, Lead chloride",2021-10-12,"CH3NH3PbX3, (CH3NH3)PbCl3, MAPbCl3, (MA)PbCl3",methanaminium lead chloride
2,Bis(phenylethylammonium) lead chloride,"(PEA)2PbCl4, (C8H12N)2PbCl4, (C6H5C2H4NH3)2PbCl4",C16H24N2PbCl4,C16H24N2,"PbCl4, Lead chloride",2021-10-19,"(PEA)2PbCl4, (C8H12N)2PbCl4",bis(2-Phenylethane-1-aminium) lead chloride
3,"5,5‘‘‘-bis(aminoethyl)-2,2‘:5‘,2‘‘:5‘‘,2‘‘‘-quaterthiophene lead bromide","AE4TPbBr4, (AEQT)PbBr4, AEQTPbBr4",C20H22N2S4PbBr4,C20H22N2S4,"PbBr4, Lead bromide",2021-10-12,"AE4TPbBr4, (AEQT)PbBr4, AEQTPbBr4","5,5‘‘‘-bis(aminoethyl)-2,2‘:5‘,2‘‘:5‘‘,2‘‘‘-quaterthiophene lead bromide"
4,Bis(2-anthrylmethylammonium) lead chloride,"AMA2PbCl4, (C15H11NH3)2PbCl4, (C15H14N)2PbCl4",C30H28N2PbCl4,C15H14N,"PbCl4, Lead chloride",2021-10-12,AMA2PbCl4,bis(anthracen-1-ylmethanaminium) lead chloride
5,CaTiO3,Pbnm,CaTiO3,None,CaTiO3,2021-10-04,Pbnm,
6,Bis(2-(2-naphthyl)ethanammonium) lead bromide,"NEA2PbI4, (C24H28N2)PbI4",C24H28N2PbI4,C12H14N,"PbI4, Lead iodide",2021-10-12,"NEA2PbI4, (C24H28N2)PbI4",2-(2-naphthyl)ethane-1-aminium lead bromide
7,Bis(1-(2-naphthyl)methanammonium) lead bromide,"NMA2PbBr4, (C11H9NH3)2PbBr4, (C11H12N)2PbBr4",C22H24N2PbBr4,C11H12N,"PbBr4, Lead bromide",2021-10-12,NMA2PbBr4,1-(2-naphthyl)methanaminium lead bromide
8,Bis(Phenylmethylammonium) lead iodide,"(PMA)2PbBr4, (C6H5CH2NH3)2PbBr4, (C7H10N)2PbBr4, (C7H7NH3)2PbBr4",C14H20N2PbBr4,C7H10N,"PbBr4, Lead bromide",2021-10-12,"(PMA)2PbBr4, (C6H5CH2NH3)2PbBr4, (C7H10N)2PbBr4, (C7H7NH3)2PbBr4",bis(benzylaminium) lead iodide
9,Bis(phenylethylammonium) lead iodide,"(PEA)2PbI4, (C6H5C2H4NH3)2PbI4, (C8H12N)2PbI4, (C8H9NH3)2PbI4",C16H24N2PbI4,C8H12N,"PbI4, Lead iodide",2021-10-12,Parallel organics,bis(2-phenylethane-1-aminium) lead iodide
10,Bis(2-(2-naphtyl)ethanammonium) lead bromide,"NEA2PbBr4, (C12H14N)2PbBr4, (C12H11NH3)2PbBr4",C24H28N2PbBr4,C12H14N,"PbBr4, Lead bromide",2021-10-12,,bis(2-(napthalen-2-yl)ethane-1-aminium) lead bromide
