"Dataset","Number of the triple","Time"
"materials_dataset","10000","2.6445364952087402"
"materials_system","20000","4.5645365715026855"
"materials_author_references","30000","5.608538627624512"
"materials_scalar","40000","7.774788856506348"
"materials_scalar","50000","8.856791257858276"
"materials_scalar","60000","9.225826263427734"
"materials_scalar","70000","9.524788618087769"
"materials_scalar","80000","9.825793743133545"
"materials_scalar","90000","10.163789510726929"
"materials_scalar","100000","10.470792055130005"
"materials_scalar","110000","10.73078989982605"
"materials_multi","120000","13.033433437347412"
"materials_multi","130000","13.927428483963013"
"materials_multi","140000","14.159430027008057"
"materials_multi","150000","14.408464193344116"
"materials_multi","160000","14.746428489685059"
"materials_multi","170000","15.121465682983398"
"materials_multi","180000","15.374431848526001"
"materials_multi","190000","15.628431797027588"
"materials_multi","200000","15.883435249328613"
"materials_multi","210000","16.129431009292603"
