id,first_name,last_name,institution
1,David,Mitzi,Duke University
2,M.,Braun,Universitat Stuttgart
3,Yutaka,Komatsu,Osaka University
4,Chi,Liu,Duke University
5,Ke-zhao,Du,Duke University
6,Volker,Blum,Duke University
7,Kengo,Shibuya,"University of Tokyo, Japan Science and Technology Agency"
8,G. C.,Papavassiliou,National Hellenic Research Foundation
9,W.,Frey,Universitat Stuttgart
10,G. A.,Mousdis,National Hellenic Research Foundation
11,C. P.,Raptopoulou,"National Centre of Scientific Research ""Demokritos"""
12,A.,Terzis,"National Centre of Scientific Research ""Demokritos"""
13,Masanori,Koshimizu,"Tohoku University, Japan Science and Technology Agency"
14,Fumihiko,Nishikido,"Japan Science and Technology Agency,  National Institute of Radiological Sciences"
15,Haruo,Saito,"University of Tokyo, Japan Science and Technology Agency"
16,Shunji,Kishimoto,"Japan Science and Technology Agency, High Energy Accelerator Research Organization"
17,Qing,Tu,"Duke University, NSF Research Triangle Materials Research Science and Engineering Center"
18,Xu,Zhang,Duke University
19,Qiwei,Han,Duke University
20,Jie,Liu,Duke University
21,Stefan,Zauscher,"Duke University, NSF Research Triangle Materials Research Science and Engineering Center"
22,William,Huhn,Duke University
23,Alvaro,Vazquez-Mayagoitia,Argonne Leadership Computing Facility
24,David,Dirkes,"University of North Carolina, Chapel Hill"
25,Wei,You,"University of North Carolina, Chapel Hill"
26,Yosuke,Kanai,"University of North Carolina, Chapel Hill"
27,Takamitsu,Yamanaka,Osaka University
28,Noriyuki,Hirai,Osaka University
29,Konstantinos,Chondroudis,IBM
30,Cherie R.,Kagan,IBM
31,David,Mitzi,IBM
32,Tom,Baikie,Nanyang Technological University
33,Yanan,Fang,Nanyang Technological University
34,Jeannette M.,Kadro,Nanyang Technological University
35,Martin,Schreyer,Institute of Chemical Engineering Sciences
36,Fengxia,Wei,Nanyang Technological University
37,Subodh G.,Mhaisalkar,Nanyang Technological University
38,Micheal,Graetzel,Ecole Polytechnique Federale de Lausanne
39,Tim J.,White,Nanyang Technological University
40,Mark T.,Weller,University of Bath
41,Oliver J.,Weber,University of Bath
42,Paul F.,Henry,European Spallation Source
43,Antonietta M.,Di Pumpo,"University of Bath, Institut Laue Langevin"
44,Thomas C.,Hansen,Institut Laue Langevin
45,Yukihiko,Kawamura,Yamaguchi University
