2022-09-25 23:47:56 WARNING issue with unit arrangement formula:LiPt2Y calc_id:--YrN94eYny5kMEnm07p-Otv9O0u prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-25 23:47:56 WARNING issue with unit arrangement formula:LaNi2Sn calc_id:-1EGnZBbzyxiFQsaa4wE798Bv0Cq prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-25 23:58:57 WARNING issue with unit arrangement formula:LiPt2Y calc_id:--YrN94eYny5kMEnm07p-Otv9O0u prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-25 23:58:57 WARNING issue with unit arrangement formula:LaNi2Sn calc_id:-1EGnZBbzyxiFQsaa4wE798Bv0Cq prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 00:02:58 WARNING issue with unit arrangement formula:MgPtTc calc_id:-1F8MS8VdEQ2BXzQQ1zNFdPubPfW prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 00:02:58 WARNING issue with unit arrangement formula:NiRu2Sb calc_id:-4031-i92pMQUKC4ih0Qrn-jKEhv prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 00:14:23 WARNING issue with unit arrangement formula:LiPt2Y calc_id:--YrN94eYny5kMEnm07p-Otv9O0u prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 00:14:23 WARNING issue with unit arrangement formula:LaNi2Sn calc_id:-1EGnZBbzyxiFQsaa4wE798Bv0Cq prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 00:29:10 WARNING issue with unit arrangement formula:LiPt2Y calc_id:--YrN94eYny5kMEnm07p-Otv9O0u prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 00:29:10 WARNING issue with unit arrangement formula:LaNi2Sn calc_id:-1EGnZBbzyxiFQsaa4wE798Bv0Cq prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 10:42:57 WARNING issue with unit arrangement formula:LiPt2Y calc_id:--YrN94eYny5kMEnm07p-Otv9O0u prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 10:42:57 WARNING issue with unit arrangement formula:LaNi2Sn calc_id:-1EGnZBbzyxiFQsaa4wE798Bv0Cq prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 11:43:34 WARNING issue with unit arrangement formula:MgPtTc calc_id:-1F8MS8VdEQ2BXzQQ1zNFdPubPfW prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 11:43:34 WARNING issue with unit arrangement formula:NiRu2Sb calc_id:-4031-i92pMQUKC4ih0Qrn-jKEhv prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 11:46:01 WARNING issue with unit arrangement formula:Os2RhTa calc_id:-46PIVdxQfOMUhF74Xf74xKrC60_ prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 11:46:01 WARNING issue with unit arrangement formula:IrSn2Sr calc_id:-4AymXrZM7Yxo2rrVLvGd6Rc1DIj prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 11:48:35 WARNING issue with unit arrangement formula:LiPt2Y calc_id:--YrN94eYny5kMEnm07p-Otv9O0u prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 11:48:35 WARNING issue with unit arrangement formula:LaNi2Sn calc_id:-1EGnZBbzyxiFQsaa4wE798Bv0Cq prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 11:53:08 WARNING issue with unit arrangement formula:LiPt2Y calc_id:--YrN94eYny5kMEnm07p-Otv9O0u prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 11:53:08 WARNING issue with unit arrangement formula:LaNi2Sn calc_id:-1EGnZBbzyxiFQsaa4wE798Bv0Cq prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 11:57:32 WARNING issue with unit arrangement formula:LiPt2Y calc_id:--YrN94eYny5kMEnm07p-Otv9O0u prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 11:57:32 WARNING issue with unit arrangement formula:LaNi2Sn calc_id:-1EGnZBbzyxiFQsaa4wE798Bv0Cq prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 12:01:33 WARNING issue with unit arrangement formula:LiPt2Y calc_id:--YrN94eYny5kMEnm07p-Otv9O0u prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 12:01:33 WARNING issue with unit arrangement formula:LaNi2Sn calc_id:-1EGnZBbzyxiFQsaa4wE798Bv0Cq prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 16:28:24 WARNING issue with unit arrangement formula:LiPt2Y calc_id:--YrN94eYny5kMEnm07p-Otv9O0u prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2022-09-26 16:28:24 WARNING issue with unit arrangement formula:LaNi2Sn calc_id:-1EGnZBbzyxiFQsaa4wE798Bv0Cq prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
