id,subset_id,dataset_id,numerical_id,value,qualifier,primary_property_id,secondary_property_id,value_temp,label
111,6,6,220,352.269,1,4,5,296.0,K
111,6,6,221,0.71269,0,4,5,296.0,K
112,6,6,222,352.772,1,4,5,296.0,K
112,6,6,223,0.70556,0,4,5,296.0,K
113,6,6,224,353.777,1,4,5,296.0,K
113,6,6,225,0.70066,0,4,5,296.0,K
114,6,6,226,355.782,1,4,5,296.0,K
114,6,6,227,0.70468,0,4,5,296.0,K
115,6,6,228,356.784,1,4,5,296.0,K
115,6,6,229,0.71092,0,4,5,296.0,K
116,6,6,230,357.452,1,4,5,296.0,K
116,6,6,231,0.71493,0,4,5,296.0,K
117,6,6,232,359.124,1,4,5,296.0,K
117,6,6,233,0.71359,0,4,5,296.0,K
118,6,6,234,360.129,1,4,5,296.0,K
118,6,6,235,0.70958,0,4,5,296.0,K
119,6,6,236,361.467,1,4,5,296.0,K
119,6,6,237,0.70647,0,4,5,296.0,K
120,6,6,238,363.64,1,4,5,296.0,K
120,6,6,239,0.7087,0,4,5,296.0,K
121,6,6,240,365.312,1,4,5,296.0,K
121,6,6,241,0.71138,0,4,5,296.0,K
122,6,6,242,366.482,1,4,5,296.0,K
122,6,6,243,0.71138,0,4,5,296.0,K
123,6,6,244,367.486,1,4,5,296.0,K
123,6,6,245,0.7096,0,4,5,296.0,K
124,6,6,246,369.326,1,4,5,296.0,K
124,6,6,247,0.70782,0,4,5,296.0,K
125,6,6,248,369.827,1,4,5,296.0,K
125,6,6,249,0.70782,0,4,5,296.0,K
126,6,6,250,371.833,1,4,5,296.0,K
126,6,6,251,0.70961,0,4,5,296.0,K
127,6,6,252,373.434,1,4,5,296.0,K
127,6,6,253,0.71114,0,4,5,296.0,K
128,6,6,254,374.761,1,4,5,296.0,K
128,6,6,255,0.71115,0,4,5,296.0,K
129,6,6,256,376.089,1,4,5,296.0,K
129,6,6,257,0.70938,0,4,5,296.0,K
130,6,6,258,377.682,1,4,5,296.0,K
130,6,6,259,0.70762,0,4,5,296.0,K
131,6,6,260,379.672,1,4,5,296.0,K
131,6,6,261,0.70939,0,4,5,296.0,K
132,6,6,262,381.53,1,4,5,296.0,K
132,6,6,263,0.70974,0,4,5,296.0,K
133,6,6,264,383.654,1,4,5,296.0,K
133,6,6,265,0.70798,0,4,5,296.0,K
134,6,6,266,384.849,1,4,5,296.0,K
134,6,6,267,0.70657,0,4,5,296.0,K
135,6,6,268,387.503,1,4,5,296.0,K
135,6,6,269,0.70763,0,4,5,296.0,K
136,6,6,270,388.963,1,4,5,296.0,K
136,6,6,271,0.70834,0,4,5,296.0,K
137,6,6,272,391.351,1,4,5,296.0,K
137,6,6,273,0.7087,0,4,5,296.0,K
138,6,6,274,392.679,1,4,5,296.0,K
138,6,6,275,0.70729,0,4,5,296.0,K
139,6,6,276,394.404,1,4,5,296.0,K
139,6,6,277,0.708,0,4,5,296.0,K
140,6,6,278,396.261,1,4,5,296.0,K
140,6,6,279,0.71119,0,4,5,296.0,K
141,6,6,280,398.916,1,4,5,296.0,K
141,6,6,281,0.71013,0,4,5,296.0,K
142,6,6,282,399.978,1,4,5,296.0,K
142,6,6,283,0.70836,0,4,5,296.0,K
143,6,6,284,401.836,1,4,5,296.0,K
143,6,6,285,0.70731,0,4,5,296.0,K
144,6,6,286,403.429,1,4,5,296.0,K
144,6,6,287,0.70802,0,4,5,296.0,K
145,6,6,288,406.083,1,4,5,296.0,K
145,6,6,289,0.70802,0,4,5,296.0,K
146,6,6,290,409.002,1,4,5,296.0,K
146,6,6,291,0.70838,0,4,5,296.0,K
147,6,6,292,410.462,1,4,5,296.0,K
147,6,6,293,0.70873,0,4,5,296.0,K
148,6,6,294,412.187,1,4,5,296.0,K
148,6,6,295,0.71015,0,4,5,296.0,K
149,6,6,296,414.974,1,4,5,296.0,K
149,6,6,297,0.70945,0,4,5,296.0,K
150,6,6,298,416.832,1,4,5,296.0,K
150,6,6,299,0.7091,0,4,5,296.0,K
151,6,6,300,419.885,1,4,5,296.0,K
151,6,6,301,0.70981,0,4,5,296.0,K
152,6,6,302,422.672,1,4,5,296.0,K
152,6,6,303,0.7077,0,4,5,296.0,K
153,6,6,304,425.459,1,4,5,296.0,K
153,6,6,305,0.70841,0,4,5,296.0,K
154,6,6,306,428.113,1,4,5,296.0,K
154,6,6,307,0.70947,0,4,5,296.0,K
155,6,6,308,429.706,1,4,5,296.0,K
155,6,6,309,0.70912,0,4,5,296.0,K
156,6,6,310,434.351,1,4,5,296.0,K
156,6,6,311,0.70913,0,4,5,296.0,K
157,6,6,312,436.872,1,4,5,296.0,K
157,6,6,313,0.70914,0,4,5,296.0,K
158,6,6,314,437.934,1,4,5,296.0,K
158,6,6,315,0.70737,0,4,5,296.0,K
159,6,6,316,440.589,1,4,5,296.0,K
159,6,6,317,0.70737,0,4,5,296.0,K
160,6,6,318,443.508,1,4,5,296.0,K
160,6,6,319,0.70738,0,4,5,296.0,K
161,6,6,320,445.631,1,4,5,296.0,K
161,6,6,321,0.7095,0,4,5,296.0,K
162,6,6,322,449.613,1,4,5,296.0,K
