2022-09-15 18:37:43 WARNING issue with unit arrangement:-  formula:NiSiTe, calc_id:-LPolYKV503jhAGmde8YN-mHOiiQ, prop:has_reciprocal_cell, unit:1 / meter, c_unit:ONE-PER-METER, check:5
2022-09-15 18:58:22 WARNING issue with unit arrangement:-  formula:NiSiTe, calc_id:-LPolYKV503jhAGmde8YN-mHOiiQ, prop:has_reciprocal_cell, unit:1 / meter, c_unit:ONE-PER-METER, check:5
2022-09-21 16:28:51 WARNING issue with unit arrangement:-  formula:NiSiTe, calc_id:-LPolYKV503jhAGmde8YN-mHOiiQ, prop:has_reciprocal_cell, unit:1 / meter, c_unit:ONE-PER-METER, check:5
2022-11-15 16:59:52 WARNING issue with unit arrangement:-  formula:NiSiTe, calc_id:-LPolYKV503jhAGmde8YN-mHOiiQ, prop:has_reciprocal_cell, unit:1 / meter, c_unit:ONE-PER-METER, check:5
2022-11-16 15:30:54 WARNING issue with unit arrangement:-  formula:MgTlZn, calc_id:0K26QKib-EkUbV9sz48MfgGkskSz, prop:has_reciprocal_cell, unit:1 / meter, c_unit:ONE-PER-METER, check:5
2022-11-16 15:30:54 WARNING issue with unit arrangement:-  formula:MgRu2Y, calc_id:0MAqP5-QHUm7kbgmf01bH6Bbu7IV, prop:has_reciprocal_cell, unit:1 / meter, c_unit:ONE-PER-METER, check:5
2022-11-16 15:30:59 WARNING issue with unit arrangement:-  formula:Mn2MoNb, calc_id:0OBR24XOVa87chTcOyZ5XX0ts8gv, prop:has_reciprocal_cell, unit:1 / meter, c_unit:ONE-PER-METER, check:5
2022-11-16 15:30:59 WARNING issue with unit arrangement:-  formula:Mg2RhW, calc_id:0Q0IouignbfwhLfHMoetVuepubcq, prop:has_reciprocal_cell, unit:1 / meter, c_unit:ONE-PER-METER, check:5
2022-11-16 16:16:43 WARNING issue with unit arrangement:-  formula:Re2YZr, calc_id:28PCK6jYh4KGKUW21lQnkTyzAOz3, prop:has_reciprocal_cell, unit:1 / meter, c_unit:ONE-PER-METER, check:5
2022-11-16 16:18:01 WARNING issue with unit arrangement:-  formula:P4Rh10Sc6, calc_id:3NcLIdGV9yZe-Fr1AyYkp-cqahjw, prop:has_reciprocal_cell, unit:1 / meter, c_unit:ONE-PER-METER, check:5
2022-11-16 16:18:45 WARNING issue with unit arrangement:-  formula:K2ScTi, calc_id:45k-IlOD0Y082TWIzSvtZP8Be03s, prop:has_reciprocal_cell, unit:1 / meter, c_unit:ONE-PER-METER, check:5
2022-11-16 16:18:59 WARNING issue with unit arrangement:-  formula:PRhSr, calc_id:4OVX4CwbfeX4yG3Da7PDueB_G_rb, prop:has_reciprocal_cell, unit:1 / meter, c_unit:ONE-PER-METER, check:5
2022-11-16 16:20:04 WARNING issue with unit arrangement:-  formula:Mg2PtTe, calc_id:5JlapG7QOkMai_8mxERYYzVW4oOt, prop:has_reciprocal_cell, unit:1 / meter, c_unit:ONE-PER-METER, check:5
