"Dataset","Number of the triple","Time"
"materials_dataset","10000","1.9269633293151855"
"materials_property","20000","3.4416491985321045"
"materials_author_references","30000","4.271975755691528"
"materials_scalar","40000","6.1996307373046875"
"materials_scalar","50000","6.87525749206543"
"materials_scalar","60000","7.102818965911865"
"materials_scalar","70000","7.33730936050415"
"materials_scalar","80000","7.560971736907959"
"materials_scalar","90000","7.800841569900513"
"materials_scalar","100000","8.057834148406982"
"materials_scalar","110000","8.309147834777832"
"materials_scalar","120000","8.486154556274414"
"materials_multi","130000","10.294030666351318"
"materials_multi","140000","10.893461465835571"
"materials_multi","150000","11.083020210266113"
"materials_multi","160000","11.270846605300903"
"materials_multi","170000","11.462197065353394"
"materials_multi","180000","11.648544549942017"
"materials_multi","190000","11.835610389709473"
"materials_multi","200000","12.022966861724854"
"materials_multi","210000","12.21822452545166"
"materials_multi","220000","12.405632734298706"
"materials_multi","230000","12.588760137557983"
