id,starting_materials,product,dataset_id,synthesis_method_id
2,"FABr, PbBr2, CsBr, toluene, THF",Thin film/Solution,128,2
3,"Lead(II) acetate (Chemical Reagents, Sigma), concentrated aqueous HCl, CH3NH2 (40% soluble in water, Merck)","MAPbCl3 single crystal ~1mm, colorless",129,3
4,"Lead(II) acetate (Chemical Reagents, Sigma), concentrated aqueous HBr, CH3NH2 (40% soluble in water, Merck)","MAPbBr3 single crystal ~0.1mm, bright red/orange",131,4
5,"Lead(II) acetate (Chemical Reagents, Sigma), concentrated aqueous HI, CH3NH2 (40% soluble in water, Merck)",MAPbI3 Single crystal,132,5
10,"FABr, PbBr2, CsBr, toluene, THF",Thin film,138,10
11,"Lead (II) acetate trihydrate (Pb(ac) 2·3H2O, 99%), fomamidine acetate salt (FAac, 99%), lead iodide (PbI2 , 99.999%), hydriodic acid (HI) (57% w/w aq. soln., stab with 1.5% hypophosphorous acid), and gamma-butyrolactone (GBL, 99%) were purchased from Sigma-Aldrich",FAPbI3 Single crystal 5 mm Black,139,11
23,"Lead(II) acetate (Chemical Reagents, Sigma), aqueous HI, CH3NH2 (40% soluble in water, Merck)",Black MAPbI3 Polycrystals,155,23
27,"FTO (10 Ω/sq, Nippon Sheet Glass), TiCl4, HI, CH3NH2, PbI2","MAPbI3 on TiO2-coated FTO, TiO2 film had a thickness of 8-12 μm. Powder is black.",159,27
28,"FTO (10 Ω/sq, Nippon Sheet Glass), TiCl4, HBr, CH3NH2, PbBr2","MAPbBr3 on TiO2-coated FTO, MAPbBr3 size 2-3mm. TiO2 film had a thickness of 8-12 μm. Powder is yellow",160,28
31,"Tin (II) iodide, methylammonium iodide, HI (aq), argon, nitrogen",Powder,163,31
32,"Tin (II) iodide, formamidine acetate, HI (aq), argon, nitrogen",Black powder,164,32
33,"Tin (II) iodide, formamidine acetate, HI (aq), argon, nitrogen",Black single crystal,165,33
36,"Lead(II) acetate (Chemical Reagents, Sigma), concentrated aqueous HBr, CH3NH2 (40% soluble in water, Merck)",Bright red/orange MAPbBr3 Single crystal of ~0.1mm,169,36
37,"Lead(II) acetate (Chemical Reagents, Sigma), concentrated aqueous HCl, CH3NH2 (40% soluble in water, Merck)",Colorless MAPbCl3 Single crystal ~1mm,170,37
38,"HBr, CH3NH2, Pb(NO3)2",MAPbBr3 Single-crystal,171,38
39,,MAPbCl3 Single-crystal,172,39
40,"HI, CH3NH2, Pb(NO3)2",MAPbI3 Powder,173,40
41,"CH3NH3PbI3, lead (II) acetate, CH3NH3+ (by adding a 40% solution of CH3NH2 in water), concentrated HI",Black and opaque MAPbI3 Single crystal,174,41
47,"HC(NH2)2I, PbI2, distilled HI 57% (99.95%), H3PO2 50%",Black FAPbI3 Crystals (alpha phase),182,47
48,"CH3NH3I [from synthesis], SnI2 [from synthesis], distilled HI 57% (99.95%), H3PO2 50%",Black MAPbI3 crystals,183,48
51,"Lead(II) acetate (Chemical Reagents, Sigma), aqueous HI, CH3NH2 (40% soluble in water, Merck)",Black MAPbI3 Polycrystals,186,51
54,"Lead(II) acetate (Chemical Reagents, Sigma), aqueous HI, CH3NH2 (40% soluble in water, Merck)",Black MAPbI3 polycrystals,189,54
